№ п/п,Наименование предприятия,ИНН,Почта
197,МАДОУ Д/С № 92 ГОРОДА ТЮМЕНИ,7203207010.0,DS92@obl72.ru; madou_ds_92@mail.ru; mochalina_tanya@mail.ru
198,"МАОУ ""БИГИЛИНСКАЯ СОШ""",7215008010.0,LOPOPOV@YANDEX.RU; bigschool72@yandex.ru; starikova.eleni@yandex.ru
200,МАОУ СОШ №92 ГОРОДА ТЮМЕНИ,7202163770.0,school92_tmn@mail.ru ; maousosh92@yandex.ru
201,"МАДОУ ""ДЕТСКИЙ САД № 40 - ЦРР"" Г. ТОБОЛЬСКА",7206037092.0,detskiy_sad_40@mail.ru; tobds40@obl72.ru
202,"ГАПОУ ТО ""ГОЛЫШМАНОВСКИЙ АГРОПЕДКОЛЛЕДЖ""",7214007895.0,agpc@yandex.ru; aledakov@yandex.ru; 7214007895@t72.ru; agpc@obl72.ru
203,МАДОУ Д/С № 51 ГОРОДА ТЮМЕНИ,7202171509.0,dou51@obl72.ru; det_sad_51@mail.ru; dou51@inbox.ru
204,МАОУ ЕМУРТЛИНСКАЯ СОШ,7226002605.0,mou.emur@mail.ru
205,МАОУ ГИМНАЗИЯ № 1 ГОРОДА ТЮМЕНИ,7204006677.0,moug1@mail.ru; moug@mail.ru
206,"МАДОУ АР ДЕТСКИЙ САД ""СИБИРЯЧОК""",7205028850.0,sibirds@yandex.ru; sibirds2016@yandex.ru; detiabatsk@yandex.ru
207,МАДОУ Д/С № 73 ГОРОДА ТЮМЕНИ,7202171805.0,anoodo73@mail.ru; madou_73@obl72.ru
208,МАОУ СОШ № 12,7206014909.0,sh12tob@yandex.ru; tobsh12@obl72.ru
209,МАДОУ Д/С № 60 ГОРОДА ТЮМЕНИ,7204118645.0,ano-ds60@rambler.ru
210,МАОУ ГАГАРИНСКАЯ СОШ,7217007149.0,gagarinoschool@mail.ru; shg@mail.ru; gagarinoscool@mail.ru; gagarinosh@obl72.ru
211,"МАОУ ""АРОМАШЕВСКАЯ СОШ ИМ. В.Д.КАРМАЦКОГО""",7210010544.0,aromschool@yandex.ru; aromotdel@mail.ru
213,МАОУ БОГАНДИНСКАЯ СОШ № 2,7224017282.0,bogsosh2@yandex.ru; bogsosch2@yandex.ru; bog2@obraz-tmr.ru
214,МАОУ ЛИЦЕЙ №81 ГОРОДА ТЮМЕНИ,7202076679.0,liz81@bk.ru; liz81@mail.ru
215,МАОУ ОСИНОВСКАЯ СОШ,7212003888.0,djeris@ya.ru; djeris@ja.ru; djeris@yandex.ru; djeris@yadexs.ru; djeris@yn.ru
216,МАОУ СОШ №1 Г. ИШИМА,7205009215.0,moysoh1@mail.ru; moysoh1@mail.com; maoysoh1@mail.ru
217,МАОУ БОГАНДИНСКАЯ СОШ № 42,7224010086.0,bog42@obraz-tmr.ru; shkola42@mail.ru
220,"МАОУ ""ГИМНАЗИЯ ИМЕНИ Н.Д. ЛИЦМАНА""",7206015638.0,gimn10@mail.ru; tobgymn@obl72.ru
221,"АНО УМЦ ДПО ""СТАТУС""",8603146212.0,aupstatus@bk.ru;STROYBAT-NV@BK.RU;statustumen@yandex.ru
222,МАОУ ИСЕТСКАЯ СОШ №1,7216003166.0,shkola1isetskoye@mail.ru
223,МАОУ ЧЕРЕМШАНСКАЯ СОШ,7205010193.0,ch_scool@mail.ru
224,МАОУ СОШ № 69 ГОРОДА ТЮМЕНИ,7204007208.0,moy69tmn@mail.ru; moy69tmn@obl72.ru; moy69tmnobl72@mail.ru
227,МАДОУ Д/С № 65 ГОРОДА ТЮМЕНИ,7203207162.0,detskiy.sad.65@obl72.ru; detskiy.sad.65@yandex.ru; detskiy.sad.65@yandex.ry
228,МАДОУ Д/С №61 ГОРОДА ТЮМЕНИ,7202171516.0,detsad61@mail.ru; detsad61@obl72.ru
229,МАОУ СОШ №30 ГОРОДА ТЮМЕНИ,7204006081.0,tums30@rambler.ru; tums30@72obl.ru; sartaknat@mail.ru; tums30@obl72.ru
232,"МАОУ ""ЛИЦЕЙ""",7206019520.0,toblic@obl72.ru; licei-tobolsk@yandex.ru; licei-tobolsk@yande[.ru
233,МАОУ СОШ № 1,7207000698.0,sh1jalutorovsk@mail.ru; buhgschkola1@mail.ru; buhgschkola@mail.ru
238,"МАУДО ""ДЕТСКИЙ САД №7""",7207010424.0,vishenka_sad7@mail.ru
239,МАОУ МУЛЛАШИНСКАЯ СОШ,7224028380.0,mul@obraz-tmr.ru; mullashisosh@mail.ru
240,МАОУ СОШ №20,7206045618.0,school43-mendeleevo@mail.ru; tobsh20@obl72.ru
242,УПРАВЛЕНИЕ ОБРАЗОВАНИЯ,7204095814.0,uotmr@mail.ru; buh@obraz-tmr.ru
243,МАОУ ПЕТЕЛИНСКАЯ СОШ,7228001043.0,petelino_buh@mail.ru; schkoolpetelino@indox.ru; petelino_buh@mail.com; chkolapetelino@mail.ru
244,МАДОУ Д/С № 14,7205018940.0,14auto@mail.ru; buxg.audo14@mail.ru
246,МАДОУ Д/С № 153 ГОРОДА ТЮМЕНИ,7203206948.0,brusnichka153@mail.ru; buhds153@mail.ru
247,"МАДОУ  ГОЛЫШМАНОВСКИЙ ЦРР - Д\С № 4 ""ЁЛОЧКА""",7214008440.0,elochka-igolochka1981@yandex.ru
248,"МАДОУ ""НИЖНЕТАВДИНСКИЙ ДЕТСКИЙ САД ""КОЛОСОК""",7219009840.0,kolosoknt@yandex.ru
250,"МАОУ ДОД ДЕТСКИЙ САД ""СКАЗКА""",7220504711.0,skazka-omut-36@rambler.ru; Skazka-omut-36@mail.ru
251,МАОУВ(С)ОШ № 2 ГОРОДА ТЮМЕНИ,7204033430.0,schoola2-tmn@yandex.ru; T-OSOSH2@YANDEX.RU; schoolo2-tmn@yandex.ru; vecher2.buh@yandex.ru; ol.ignateva@mail.ru
254,МАОУ АРМИЗОНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА,7209002556.0,arm_school@obl72.ru; lyudmila-71@mail.ru; tatyana.dubovick@mail.ru; 89088655994@mail.ru
255,МАОУ АНДРЕЕВСКАЯ СОШ,7224015408.0,school150000@mail.ru
256,МАОУ КАМЕНСКАЯ СОШ,7224009965.0,kamenka18@yandex.ru; kam@obraz-tmr.ru; kamenka18@mail.ru
257,"МАУ ДО НИЖНЕТАВДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ""ЦДО""",7219007810.0,uon-tavda@mail.ru
258,"ФЛ МАУ ДО ""ДЕТСКИЙ САД СОЛНЫШКО"" П.ТУРТАС УВАТСКОГО МУНИЦИПАЛЬНОГО РАЙОНА",7225005177.0,turtac@mail.ru; bugsol16@mail.ru; turtacsol@mail.ru
259,"МАОУ ""ЮРГИНСКАЯ СОШ""",7227002358.0,sh1yurga@yandex.ru
260,"МАДОУ ""ИСЕТСКИЙ ДЕТСКИЙ САД ""ИВУШКА""",7216005710.0,IWUSHKA.IS@YANDEX.RU; iwuhska.is@yandex.ru
261,"АДОУ ""ЮРГИНСКИЙ ДЕТСКИЙ САД ЮРГИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА""",7227262282.0,adou-urga@mail.ru; adou-urga@vail.ru
263,"ЧДОУ ""ДЕТСКИЙ САД ""ПАНДА""",7203330590.0,panda.sadik@yandex.ru; panda.buhg@yandex.ru; panda-sadik@rambler.ru
264,МАДОУ Д/С № 42 ГОРОДА ТЮМЕНИ,7204118677.0,ds42tyumen@mail.ru
265,МАДОУ Д/С № 62 ГОРОДА ТЮМЕНИ,7203206987.0,ds62@obl72.ru; lfa19561@rambler.ru; buh@62dou.ru; ds62@62dou.ru
267,"МАДОУ ""ДЕТСКИЙ САД № 1"" Г. ТОБОЛЬСКА",7206037021.0,KOLOKOL.TOB@MAIL.RU; tobds1@obl72.ru; tobds1@obl.ru
269,"ГАПОУ ТО ""КОЛЛЕДЖ ЦИФРОВЫХ И ПЕДАГОГИЧЕСКИХ ТЕХНОЛОГИЙ""",7203003232.0,ped2@t5.ru; ped7@t5.ru; ped4@t5.ru; ped5309402@gmail.ru; kcpt@obl72.ru
271,МАОУ БУНЬКОВСКАЯ СОШ,7226002700.0,bunkoww@mail.ru
272,"МАДОУ ВИНЗИЛИНСКИЙ ДЕТСКИЙ САД ""МАЛЫШОК""",7224038050.0,malishok_vinsili@mail.ru; malishok_vinsili@mai.ru
273,МАОУ СОШ № 7 Г. ИШИМА,7205009783.0,ishim7@mail.ru; ishim7@mair.ru; ishim7glavbuh@mail.ru; ishim7@obl72.ru
274,МАОУ СОШ №32 ГОРОДА ТЮМЕНИ,7203108274.0,School32-tmn@yandex.ru; School32-tmn@eandex.ru
275,МАОУ МАЛЬКОВСКАЯ СОШ,7224022677.0,BRANRA@YANDEX.RU; t.z.e200ee@mail.ru; malkovo-co@mail.ru; mal@obraz-tmr.ru
276,МАОУ СУЕРСКАЯ СОШ,7226002570.0,mou.suerk@mail.ru
277,ТЮМНЦ СО РАН,7202004498.0,buh_ikz@ikz.ru; kadry@ikz.ru; 371-sctmn@mail.ru
278,МАОУ ПЯТКОВСКАЯ СОШ,7226002926.0,mou.pyatk@inbox.ru; mou.pyatk@mail.ru
280,МА ДОУ ЦРР Д/С № 24,7205018724.0,lshYG24@yandex.ru; ishyg24@yandex.ru; ds24ishim@obl72.ru
281,МАОУ АБАТСКАЯ СОШ № 1,7208001084.0,abatskscool1@mail.ru; abbyx1@yandex.ru; sekretar.abatskscool1@mail.ru; aasuvorova_92@mail.ru
282,"МАОУ ""СРЕДНЯЯ ШКОЛА № 1""",7206014610.0,BUH1-SHKOLA@MAIL.RU; 1-shkola@mail.ru; zrjdktdfnd@yandex.ru
284,МАОУ СОШ №51 ГОРОДА ТЮМЕНИ,7204006042.0,school51-tmn@obl72.ru; schoola51@rambler.ru; school51-tmn@mail.ru; frologi-arma@mail.ru; sсhool51-tmn@obl72.ru
285,МАОУ СОШ №40 ГОРОДА ТЮМЕНИ,7202045134.0,school40_tmn@mail.ru; FLNAT@mail.ru
286,МАОУ ГИМНАЗИЯ №5 ГОРОДА ТЮМЕНИ,7203076840.0,gimnasia-5@yandex.ru; colova.ir@yandex.ru
288,МАОУ УПОРОВСКАЯ СОШ,7226001383.0,kia0506@yandex.ru
293,"МКУ""ИГМЦ""",7205009600.0,mail@ishimobraz.ru
294,"МАОУ ""ГОЛЫШМАНОВСКАЯ СОШ № 2""",7214005739.0,gol.shool2@mail.ru; GOL.SHOOL2@RAMBLER.RU; gol.shol2@mail.ru; golshool2@mail.ru; gol.shool@mail.ru; korzukhinas@mail.ru
296,ЗСФ ИНГГ СО РАН,5408240311.0,buh_zsfigng@ikz.ru
297,МАОУ ИГОЛ ИМ. Е.Г. ЛУКЬЯНЕЦ,7205007948.0,lyceumishim@mail.ru; buh.lyceumishim@mail.ru
299,"МАОУ ""БИЗИНСКАЯ СОШ""",7223009352.0,bizino_school@mail.ru; bortvina.marina@yandex.ru
300,МАОУ ЯРОВСКАЯ СОШ,7224010093.0,yar@obraz-tmr.ru; lavrenova63@mail.ru; tt040880@mail.ru
302,"МАДОУ ЧЕРВИШЕВСКИЙ ДЕТСКИЙ САД ""СИБИРЯЧОК""",7224037923.0,sibir_sad_72@mail.ru
303,"МАДОУ ""ДЕТСКИЙ САД КОМБИНИРОВАННОГО ВИДА № 10"" Г. ТОБОЛЬСКА",7206037053.0,buratino53@mail.ru; ta_2009@mail.ru; rybinka29@mail.ru; detsad_bux@mail.ru; det.10@yandex.ru
304,УПРАВЛЕНИЕ ОБРАЗОВАНИЯ,7210010696.0,aromotdel@mail.ru; kultura-arom@mail.ru;;
305,МАОУ ЛУГОВСКАЯ СОШ,7224023600.0,lugovoe507@mail.ru; elenamelnik.1985@mail.ru; lug@obraz-tmr.ru
307,"ЧОУ ""ЕВРОГИМНАЗИЯ""",7224080855.0,buh4@euro72.ru; info@eg72.ru
310,МАДОУ ЦРР - Д/С № 123 ГОРОДА ТЮМЕНИ,7202171756.0,detsad123@mail.ru; detsad123@obl72.ru
311,"МАУ БЕРДЮЖСКОГО РАЙОНА ДО ДЕТСКИЙ САД ""МАЛЫШОК""",7211005466.0,malish.sad2009@yandex.ru
312,"МАДОУ УМР УПОРОВСКИЙ ДЕТСКИЙ САД ""СОЛНЫШКО""",7226004810.0,DETSAD2009@MAIL.RU
313,"МАОУ ""ГОЛЫШМАНОВСКАЯ СОШ № 4""",7214005753.0,gol.shool4@mail.ru
315,МАОУ СОШ № 4 Г. ИШИМА,7205009790.0,ishim-school4@mail.ru; ishim-school4@obl72.ru
317,ОТДЕЛ ОБРАЗОВАНИЯ ИСЕТСКОГО РАЙОНА,7216004378.0,нет в списке ДФ
318,"МАУ ""ЦЕНТР ОДО ""ОБРАЗОВАНИЕ"" Г.ТОБОЛЬСКА""",7206039533.0,maucentr@mail.ru; TOBOLSK_LESSON@MAIL.RU; mau_centr@mail.ru; codo@obl72.ru
319,МАУ ИМЦ Г.ТЮМЕНИ,7202080308.0,maouimc@mail.ru; gime172@gmail.com; maouimc@vail.ru
320,"МАДОУ КАСКАРИНСКИЙ ДЕТСКИЙ САД ""ЗОЛОТОЙ ПЕТУШОК""",7224037994.0,zolotoy-petushok@mail.ru; kasds@obraz-tmr.ru
321,МАДОУ Д/С № 9,7205018883.0,audods9@mail.ru; tato4ka@mail.ru; audodc9@mail.ru; audodc9@mail.r
323,ОТДЕЛ ОБРАЗОВАНИЯ ТОБОЛЬСКОГО РАЙОНА,7206025918.0,metodist-tron@rambler.ru; MARKSHTEDER.@IMCTOB.RU; info@imctob.ru; stalnova.1988@mail.ru; valentinabux205@mail.ru
324,"МАОУ ""НОВОЗАИМСКАЯ СОШ""",7215007707.0,mou.zaimka@rambier.ru; mouzaimka@mail.ru; zaimka@mail.ru; mou.zaimka@mail.ru
325,"МАДОУ ВАГАЙСКИЙ ДЕТСКИЙ САД ""КОЛОСОК""",7212005500.0,dkolosok@bk.ru; dkolosok@mail.ru
326,"МАОУ ""СЕВЕРО-ПЛЕТНЕВСКАЯ СОШ""",7227002326.0,spletnevo@mail.ru
327,"МАДОУ ""ЦРР - ДЕТСКИЙ САД ""СОЛНЫШКО"" ЯРКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА""",7229007979.0,madou.soln@yandex.ru; madou.soln@obl72.ru
329,МАОУ СОШ С. ОКУНЁВО,7211004046.0,okuskol2@rambler.ru
330,МАОУ КШ № 3 Г. ИШИМА,7205010027.0,cksh3@yandex.ru
331,"МАОУ ""СОШ № 3""",7207000578.0,school-3yal69@mail.ru; nadsnarina08@mail.ru; nazarovanv2018@bk.ru; SCHOOL-3YAL@MAIL.RU; school-3yal.69@mail.ru
335,"МАОУ ""ИШИМСКАЯ ШКОЛА-ИНТЕРНАТ""",7205005475.0,ishim_inter@mail.ru; 7205005475@t72.ru
336,МАОУ СОШ № 31,7205005718.0,sh_31@mail.ru; sh_31buh@mail.ru; sh_buh@mail.ru
338,"МАУ ДО ""ВИКУЛОВСКИЙ ДЕТСКИЙ САД ""КОЛОСОК""",7213004563.0,vikdskolos@mail.ru; evgeniya_nihaich@mail.ru
339,"МАОУ СОШ №73 ""ЛИРА"" ГОРОДА ТЮМЕНИ",7204006010.0,lira073@mail.ru; mtpmta@ya.ru; hackergirl89@mail.ru; mpmta@ya.ru
340,МБОУ НШ-ДС № 82 ГОРОДА ТЮМЕНИ,7203058552.0,school82_tmn@mail.ru; school82@obl72.ru
341,ФБУН ТНИИКИП РОСПОТРЕБНАДЗОРА,7203001034.0,info@tniikip.rospotrebnadzor.ru; MihailovaEA@Tniikip.rospotrebnadzor.ru; buh_tniikip@mail.ru; stcbivan@mail.ru; permassets@tniikip.rospotrebnadzor.ru
344,МАДОУ ЦРР Д/С № 19,7205018890.0,auds19@rambler.ru; AUDS19@MAIL.RU; auds19glavbux@mail.ru
346,"МАОУ ""СОШ № 4""",7207005008.0,schol_4o@mail.ru; Natasaf80@mail.ru; school_4o@mail.ru
